,size,duration
1330,3,2
1331,2,2
1332,2,2
1333,2,2
1334,2,2
1335,2,2
1336,14,2
1337,18,2
1338,12,2
1339,4944,9
1340,10,2
1341,2,2
1342,2,2
1343,3,2
1344,3,2
1345,3,2
1346,3,2
1347,2,2
1348,3,2
1349,3,2
1350,2,2
1351,3,2
1352,6,2
1353,4,2
1354,11,2
1355,4,2
1356,15,2
1357,15,2
1358,20,2
1359,9,2
1360,11,2
1361,12,2
1362,20,2
1363,7,2
1364,10,2
1365,5,2
1366,6,2
1367,2,2
1368,12,2
1369,14,2
1370,12,2
1371,11,2
1372,10,2
1373,7,2
1374,7,2
1375,8,2
1376,5,2
1377,3,2
1378,8,2
1379,8,2
1380,5,2
1381,6,2
1382,8,2
1383,2,2
1384,6,2
1385,3610806,980
1386,3,2
1387,8,2
1388,14,2
1389,14,2
1390,4,2
1391,3,2
1392,6,2
1393,4,2
1394,2,2
1395,7,2
1396,5,2
1397,5,2
1398,3,2
1399,9,2
1400,8,2
1401,12,2
1402,11,2
1403,11,2
1404,11,2
1405,11,2
1406,11,2
1407,10,2
1408,9,2
1409,8,2
1410,7,2
1411,8,2
1412,8,2
1413,7,2
1414,7,2
1415,7,2
1416,7,2
1417,8,2
1418,7,2
1419,6,2
1420,5,2
1421,4,2
1422,3,2
1423,3,2
1424,3,2
1425,3,2
1426,2,2
1427,2,2
1428,5,2
1429,2,2
1430,6,2
1431,3,2
1432,8,2
1433,12,2
1434,3,2
1435,7,2
1436,9,2
1437,10,2
1438,2,2
1439,5,2
1440,10,2
1441,10,2
1442,7,2
1443,2,2
1444,4,2
1445,5,2
1446,6,2
1447,6,2
1448,5,2
1449,3,2
1450,2,2
1451,3,2
1452,3,2
1453,4,2
1454,4,2
1455,2,2
1456,2,2
1457,2,2
1458,2,2
1459,2,2
1460,2,2
1461,7,2
1462,242,4
1463,994,7
1464,1820,7
1465,18,2
1466,11,2
1467,7,2
1468,4,2
1469,4,2
1470,11,2
1471,2,2
1472,5843,10
1473,15,2
1474,4,2
1475,8,2
1476,10,2
1477,4,2
1478,9,2
1479,16,2
1480,13,2
1481,9,2
1482,6,2
1483,9,2
1484,13,2
1485,3,2
1486,7,2
1487,10,2
1488,14,2
1489,6,2
1490,10,2
1491,15,2
1492,7,2
1493,12,2
1494,5,2
1495,5,2
1496,2,2
1497,2,2
1498,3,2
1499,2,2
1500,2,2
1501,4,2
1502,9,2
1503,2,2
1504,3,2
1505,6,2
1506,11,2
1507,2,2
1508,3,2
1509,6,2
1510,10,2
1511,2,2
1512,3,2
1513,6,2
1514,2,2
1515,4,2
1516,6,2
1517,8,2
1518,9,2
1519,9,2
1520,2,2
1521,3,2
1522,4,2
1523,5,2
1524,5,2
1525,3,2
1526,2,2
1527,2,2
1528,4,2
1529,4,2
1530,5,2
1531,5,2
1532,3,2
1533,5,2
1534,7,2
1535,4,2
1536,6,2
1537,8,2
1538,17,3
1539,198,5
1540,2,2
1541,16,2
1542,3,2
1543,3,2
1544,2,2
1545,2,2
1546,2,2
1547,2,2
1548,3,2
1549,2,2
1550,2,2
1551,2,2
1552,21,2
1553,15,2
1554,13,2
1555,3,2
1556,13,2
1557,11,2
1558,9,2
1559,6,2
1560,7,2
1561,7,2
1562,5,2
1563,6,2
1564,4,2
1565,5,2
1566,7,2
1567,14,2
1568,7,2
1569,8,2
1570,6,2
1571,8,2
1572,5,2
1573,7,2
1574,3,2
1575,5,2
1576,10,2
1577,5,2
1578,2,2
1579,11,2
1580,6,2
1581,3,2
1582,409,4
1583,2,2
1584,7,2
1585,10,2
1586,20,2
1587,10,2
1588,2,2
1589,4,2
1590,5,2
1591,5,2
1592,5,2
1593,4,2
1594,10,2
1595,8,2
1596,6,2
1597,4,2
1598,7,2
1599,5,2
1600,3,2
1601,5,2
1602,4,2
1603,4,2
1604,3,2
1605,6,2
1606,3,2
1607,3,2
1608,3,2
1609,2,2
1610,3,2
1611,4,2
1612,3,2
1613,2,2
1614,11,2
1615,7,2
1616,4,2
1617,2,2
1618,10,2
1619,7,2
1620,7,2
1621,24364,41
1622,21,2
1623,21,2
1624,17,2
1625,16,2
1626,8200,10
1627,11,2
1628,5,2
1629,4,2
1630,3,2
1631,2,2
1632,2,2
1633,3,2
1634,3,2
1635,12,2
1636,7,2
1637,10,2
1638,6,2
1639,28,2
1640,20,2
1641,17,2
1642,4,2
1643,5,2
1644,7,2
1645,12,2
1646,9,2
1647,11,2
1648,3421961,943
1649,12,2
1650,12,2
1651,8,2
1652,8,2
1653,6,2
1654,6,2
1655,7,2
1656,9,2
1657,3,2
1658,3,2
1659,3,2
1660,7,2
1661,5,2
1662,3,2
1663,9,2
1664,8,2
1665,12,2
1666,9,2
1667,22,2
1668,22,2
1669,26,2
1670,11,2
1671,9,2
1672,6,2
1673,10,2
1674,8,2
1675,5,2
1676,3,2
1677,7,2
1678,5,2
1679,8,2
1680,8,2
1681,4,2
1682,2,2
1683,5,2
1684,5,2
1685,6,2
1686,6,2
1687,4,2
1688,2,2
1689,3,2
1690,3,2
1691,3,2
1692,2,2
1693,4,2
1694,5,2
1695,2,2
1696,4,2
1697,3,2
