run,evalanche_size,evalanche_duration,density,cooldown,branching_ratio,emperical_branching_ratio
1,"[0, 3, 12, 0, 1, 8, 0, 0, 0]","[0, 3, 9, 0, 1, 7, 0, 0, 0]",0.0,3,0.6371374928515668,0.7241379310344828
2,"[1, 2, 2, 0, 0, 0, 0, 1, 1]","[1, 2, 1, 0, 0, 0, 0, 1, 1]",1.998001998001998e-05,3,0.6371374928515668,0.42857142857142855
3,"[0, 4, 0, 1, 0, 0, 5]","[0, 3, 0, 1, 0, 0, 2]",0.0,3,0.6371374928515668,0.5714285714285714
4,"[2, 3, 2, 2, 5, 2, 0]","[2, 2, 2, 1, 4, 2, 0]",2.997002997002997e-05,3,0.6371374928515668,0.7941176470588235
5,"[0, 0, 3, 1, 0, 1, 0, 0, 9, 3, 1, 0]","[0, 0, 2, 1, 0, 1, 0, 0, 8, 3, 1, 0]",0.0,3,0.6371374928515668,0.6153846153846154
6,"[0, 5, 1, 0, 0, 11, 1, 2, 0, 3, 0, 2, 8, 0, 0]","[0, 5, 1, 0, 0, 8, 1, 2, 0, 2, 0, 2, 5, 0, 0]",0.0,3,0.6371374928515668,0.6907894736842105
7,"[5, 0, 1, 12, 2, 0, 0, 9, 4, 1, 0]","[5, 0, 1, 6, 2, 0, 0, 8, 3, 1, 0]",5.994005994005994e-05,3,0.6371374928515668,0.75
8,"[3, 4, 1, 1, 1, 9]","[2, 3, 1, 1, 1, 8]",0.0,3,0.6371374928515668,0.7857142857142857
9,"[5, 1, 2, 0, 0, 1, 0, 2, 0, 0, 3, 2, 0]","[4, 1, 2, 0, 0, 1, 0, 2, 0, 0, 2, 2, 0]",0.0,3,0.6371374928515668,0.5576923076923077
0,"[0, 0, 0, 2, 21, 3, 1, 0, 0, 0, 0]","[0, 0, 0, 2, 12, 3, 1, 0, 0, 0, 0]",9.99000999000999e-06,5,0.6371374928515668,0.632051282051282
1,"[0, 1, 0, 0, 4, 1, 0, 0]","[0, 1, 0, 0, 3, 1, 0, 0]",0.0,5,0.6371374928515668,0.4230769230769231
2,"[2, 19, 0, 2, 0, 1, 0, 1, 0]","[2, 12, 0, 2, 0, 1, 0, 1, 0]",2.997002997002997e-05,5,0.6371374928515668,0.7192982456140351
3,"[3, 0, 2, 0, 0, 0, 0, 1, 0, 4]","[3, 0, 2, 0, 0, 0, 0, 1, 0, 2]",3.996003996003996e-05,5,0.6371374928515668,0.4523809523809524
4,"[0, 15, 0, 0, 4, 3, 0, 2, 0]","[0, 11, 0, 0, 3, 2, 0, 2, 0]",9.99000999000999e-06,5,0.6371374928515668,0.7733333333333334
5,"[8, 2, 1, 0, 2, 0, 1, 1, 11, 2, 17]","[5, 1, 1, 0, 2, 0, 1, 1, 6, 2, 10]",8.991008991008991e-05,5,0.6371374928515668,0.8166666666666667
6,"[2, 0, 0, 10, 0, 0, 1, 0, 0, 0, 4, 7, 0, 1]","[1, 0, 0, 7, 0, 0, 1, 0, 0, 0, 3, 5, 0, 1]",3.996003996003996e-05,5,0.6371374928515668,0.6538461538461539
7,"[2, 1, 1, 1, 0, 1, 3]","[1, 1, 1, 1, 0, 1, 3]",0.0,5,0.6371374928515668,0.6
8,"[0, 1, 0, 9, 1, 0]","[0, 1, 0, 7, 1, 0]",3.996003996003996e-05,5,0.6371374928515668,0.7708333333333333
9,"[2, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]",0.0,5,0.6371374928515668,0.36363636363636365
0,"[10, 3, 0, 1, 16, 0, 0, 4, 0]","[7, 2, 0, 1, 12, 0, 0, 2, 0]",0.00010989010989010989,0,0.7192249441438314,0.7859649122807019
